id,text,truth,prediction,raw_response,strict_letter,audited_prediction,audit_note
CF070,Someone said my child was in custody and demanded an immediate settlement transfer. I contacted the school; my child was there.,authority_impersonation,INVALID,"Based on the complaint, I would classify it as:

A) authority_impersonation: claimed police or government authority used to coerce payment under an investigation or penalty pretext.

This classification is because the person making the demand claimed to be from a position of authority (implying law enforcement or government) and used this claim",False,authority_impersonation,Explicit declared category extracted; post-hoc response audit.
CF074,A caller pretending to be a municipal officer demanded an instant online fine and threatened to seal our house.,authority_impersonation,human_review,"F) human_review: The complaint involves a municipal officer impersonation, but the primary incident is a threat of sealing the house, which is not a verified crime. The complaint also involves a demand for payment, but the context suggests it's a scam rather than a legitimate fine.",False,human_review,Explicit declared category extracted; post-hoc response audit.
CF078,The caller said he was a senior traffic officer and demanded money to stop my driving licence being cancelled over a fabricated case.,authority_impersonation,human_review,"F) human_review: The complaint involves a claim of authority impersonation, but it's not a clear-cut case. The caller claimed to be a senior traffic officer, which could be a part of a larger scheme, but the primary incident described is the alleged authority impersonation.",False,human_review,Explicit declared category extracted; post-hoc response audit.
CF086,I received a fake court notice with a QR code for an urgent penalty. The sender threatened arrest if I questioned it.,authority_impersonation,INVALID,"Based on the complaint, I would classify it as:

A) authority_impersonation: claimed police or government authority used to coerce payment under an investigation or penalty pretext.

This is because the complaint describes a fake court notice with a threat of arrest, which suggests an attempt to impersonate a government authority to coerce the victim",False,authority_impersonation,Explicit declared category extracted; post-hoc response audit.
CF094,The caller identified himself as an anti-corruption officer and demanded money to remove a false complaint bearing my name.,authority_impersonation,human_review,"F) human_review: The complaint involves a reported incident of authority impersonation, but it lacks sufficient detail to classify it as a specific scheme.",False,human_review,Explicit declared category extracted; post-hoc response audit.
CF096,Someone pretending to be a prosecutor offered to erase charges if I sent money before the supposed hearing started.,authority_impersonation,INVALID,"Based on the complaint, I would classify it as:

A) authority_impersonation: claimed police or government authority used to coerce payment under an investigation or penalty pretext.

This is because the person pretending to be a prosecutor is using their supposed authority to coerce payment, which is a key characteristic of authority impersonation.",False,authority_impersonation,Explicit declared category extracted; post-hoc response audit.
CF100,They sent a forged investigation letter and told me to pay in several smaller transfers to stay below public scrutiny.,authority_impersonation,INVALID,"Based on the complaint, I would classify it as:

A) authority_impersonation: claimed police or government authority used to coerce payment under an investigation or penalty pretext.

This classification is because the complaint mentions a forged investigation letter, which suggests that the scammer was impersonating a government authority to coerce payment.",False,authority_impersonation,Explicit declared category extracted; post-hoc response audit.
CF114,Someone posing as a government compliance officer said our business would face prosecution unless we paid his online collection agent.,authority_impersonation,INVALID,"Based on the complaint, the reported issue can be classified as:

A) authority_impersonation: claimed police or government authority used to coerce payment under an investigation or penalty pretext.",False,authority_impersonation,Explicit declared category extracted; post-hoc response audit.
CF115,A caller said my phone number was part of a criminal network and a police clearance transfer was mandatory.,authority_impersonation,INVALID,"Based on the complaint, I would classify it as:

A) authority_impersonation: claimed police or government authority used to coerce payment under an investigation or penalty pretext.

This classification is because the caller claimed to be from the police and implied that a payment or action was necessary, which is a characteristic of authority impersonation",False,authority_impersonation,Explicit declared category extracted; post-hoc response audit.
CF117,An email using a police signature demanded payment for a confidential settlement of an alleged online offence.,authority_impersonation,human_review,"F) human_review: The complaint involves a suspicious email claiming to be from the police, but it's not clear if it's a phishing attempt or a more complex scheme. The incident involves a demand for payment, but the context is not fully described.",False,human_review,Explicit declared category extracted; post-hoc response audit.
